,VaR,actual_loss,exception,cvm_pvalue
2018-04-26,11229.56518703414,6656.008335718541,0,0.036
2018-04-27,11168.987796444937,3912.28038840881,0,0.036
2018-04-30,11131.3712236831,4454.850545987567,0,0.036
2018-05-01,11086.642001961234,1434.3920705471137,0,0.036
2018-05-02,11216.353763977871,3628.4221438196014,0,0.036
2018-05-03,11246.440121541309,2852.2723990233526,0,0.036
2018-05-04,11073.343620045162,-4392.823696638132,0,0.036
2018-05-07,11097.927000094234,-55.03402622920223,0,0.036
2018-05-08,11161.29835203146,-720.3257246008193,0,0.036
2018-05-09,11104.996220556572,-2763.145467207718,0,0.036
2018-05-10,11136.168318398597,-3071.380637897443,0,0.036
2018-05-11,11073.869000182221,-2134.548383340556,0,0.036
2018-05-14,11287.709986009537,-2265.6147669272545,0,0.036
2018-05-15,11185.388702740069,934.669343877063,0,0.036
2018-05-16,11133.620218036964,1261.2460848182268,0,0.036
2018-05-17,11305.814552400823,-1071.319196654072,0,0.036
2018-05-18,11060.343053458551,5944.751353870615,0,0.036
2018-05-21,11315.192663646834,-3533.724048888218,0,0.036
2018-05-22,10996.587382589498,1596.5496875148106,0,0.036
2018-05-23,11122.5569279627,2419.391376952299,0,0.036
2018-05-24,11198.702170648297,3388.126131882875,0,0.036
2018-05-25,11241.165600779446,5864.745360235477,0,0.036
2018-05-29,11232.044664273446,18769.602486256492,1,0.036
2018-05-30,11787.789157562605,-9745.926771471906,0,0.036
2018-05-31,11541.420418737132,2729.710585467584,0,0.036
2018-06-01,11292.808440090172,-9349.614351161705,0,0.036
2018-06-04,11690.975380421685,-6213.845045146857,0,0.036
2018-06-05,11858.661033805936,-709.566367245496,0,0.036
2018-06-06,11259.999308129738,-10535.96680565416,0,0.036
2018-06-07,11327.706481866868,1864.8769320247752,0,0.036
2018-06-08,11565.104561409667,-2261.7198330520714,0,0.036
2018-06-11,11318.20189796574,-3771.500430800108,0,0.036
2018-06-12,11387.101680975378,1087.8280118311995,0,0.036
2018-06-13,11539.45281413335,-1408.4213232715783,0,0.036
2018-06-14,11381.293855276177,2083.571124445667,0,0.036
2018-06-15,11223.663282798228,10953.009480151852,0,0.036
2018-06-18,11547.951881874054,1142.223206107883,0,0.036
2018-06-19,11490.064077105773,2123.871909232739,0,0.036
2018-06-20,11529.688348962067,-457.0694013777995,0,0.036
2018-06-21,11367.306787367941,2398.3798490409413,0,0.036
2018-06-22,11084.347055380656,-233.19261360592893,0,0.036
2018-06-25,11217.985912205193,862.8360312688455,0,0.036
2018-06-26,10960.029244065572,918.1859630425436,0,0.036
2018-06-27,11334.060047780446,5624.396103685218,0,0.036
2018-06-28,11283.049873093061,2856.4385678516437,0,0.036
2018-06-29,10838.362075963307,-702.9799626469951,0,0.036
2018-07-02,10894.054536911584,-1093.5783452707606,0,0.036
2018-07-03,11127.746138122397,1708.683985864275,0,0.036
2018-07-05,10983.065369182406,-1177.9372518894777,0,0.036
2018-07-06,10937.789493579967,2006.359308474291,0,0.036
2018-07-09,11099.574881287423,-6189.856639769902,0,0.036
2018-07-10,11345.392002322444,-1078.9489412147036,0,0.036
2018-07-11,11301.236338252394,6694.317273722239,0,0.036
2018-07-12,11013.262424513157,-1345.4770732912527,0,0.036
2018-07-13,10921.040483281344,3351.929269727816,0,0.036
2018-07-16,10901.64288892665,-1189.7146255840385,0,0.036
2018-07-17,11082.824814159872,509.241016317736,0,0.036
2018-07-18,10975.004148148124,-1134.8895272777322,0,0.036
2018-07-19,11031.831600101485,6647.103280221284,0,0.036
2018-07-20,11119.67602533678,-4498.01607294681,0,0.036
2018-07-23,11207.104792587774,-6250.051070926677,0,0.036
2018-07-24,11294.797224205795,-786.6375517779453,0,0.036
2018-07-25,11548.43906375149,-1936.7195507630015,0,0.036
2018-07-26,11412.211052392191,-1558.679890525898,0,0.036
2018-07-27,11432.244342208422,4294.454526747328,0,0.036
2018-07-30,10991.07919228382,-1837.1885852577511,0,0.036
2018-07-31,11248.35483560412,1022.7089727331022,0,0.036
2018-08-01,10944.064491669365,-821.2940671018566,0,0.036
