,VaR_MC_GARCH_COPULA
2015-03-09,15756.513495146199
2015-03-10,11985.420389506688
2015-03-11,11725.104453244676
2015-03-12,12844.141992063369
2015-03-13,11918.045240672798
2015-03-16,12898.207086422279
2015-03-17,12357.954931929744
2015-03-18,13318.77741326365
2015-03-19,11781.827087444097
2015-03-20,12557.119582308722
2015-03-23,12206.927106863885
2015-03-24,11951.47961158037
2015-03-25,11002.635828462366
2015-03-26,11203.226682944114
2015-03-27,11683.332991330022
2015-03-30,12227.371415102107
2015-03-31,12177.482023349625
2015-04-01,12207.591019053976
2015-04-02,11501.453308815486
2015-04-06,11888.494453671268
2015-04-07,14750.554306562743
2015-04-08,15217.819724004674
2015-04-09,14574.405633977902
2015-04-10,14462.275466538156
2015-04-13,14465.676112098256
2015-04-14,15033.167906021867
2015-04-15,15258.965366318542
2015-04-16,16354.656118377918
2015-04-17,14970.811208495777
2015-04-20,15901.626547636202
2015-04-21,16406.281959901342
2015-04-22,16077.909610025608
2015-04-23,12197.614529715038
2015-04-24,11748.800741238734
2015-04-27,11880.981971209074
2015-04-28,11961.070568855279
2015-04-29,12717.107218008272
2015-04-30,12307.72921551251
2015-05-01,12364.122164944434
2015-05-04,12740.859800774246
2015-05-05,12822.876494031385
2015-05-06,12166.781738998718
2015-05-07,12481.085293608297
2015-05-08,12157.402402032478
2015-05-11,11830.323697504678
2015-05-12,11629.24694651544
2015-05-13,11135.899483502773
2015-05-14,11418.280647051655
2015-05-15,11645.796940345906
2015-05-18,11365.58422129947
2015-05-19,12427.142516010834
2015-05-20,12222.700843643082
2015-05-21,12400.485142736652
2015-05-22,12282.456687709075
2015-05-26,12099.309709489848
2015-05-27,13478.248951891263
2015-05-28,13833.635652231449
2015-05-29,12980.402804096282
2015-06-01,13544.314882712795
2015-06-02,12887.555322435921
2015-06-03,13030.657286506836
2015-06-04,12115.6794874807
2015-06-05,13559.02203501859
2015-06-08,12791.240515471047
2015-06-09,12567.128087569608
2015-06-10,13297.123666123145
2015-06-11,14827.498328388914
2015-06-12,14989.69799455455
2015-06-15,13813.345037501806
2015-06-16,14012.282018509688
2015-06-17,14253.156879509028
2015-06-18,14096.536829972409
2015-06-19,14784.402182898213
2015-06-22,15915.395754306544
2015-06-23,15122.781918331884
2015-06-24,14414.72000811672
2015-06-25,14873.405662753978
2015-06-26,14258.246907030714
2015-06-29,13403.613990117874
2015-06-30,14462.166463006295
2015-07-01,14865.408481792125
2015-07-02,14660.39062062301
2015-07-06,14367.048235501275
